title,year,imdb_id,director,country,canonical_tier,source,notes
The Secret,1979,tt0080029,Ann Hui,HK,1,Bordwell 2000 p.75,"Hui debut; murder mystery; HKNW origin film"
Boat People,1982,tt0085250,Ann Hui,HK,1,Teo 1997 p.178,"Hui; Vietnamese refugee drama; HKNW political cinema"
The Story of Woo Viet,1981,,Ann Hui,HK,2,Bordwell 2000,"Hui; emigrant drama; early HKNW social realism"
Song of the Exile,1990,tt0100773,Ann Hui,HK,1,Teo 1997 p.213,"Hui autobiographical; mother-daughter across cultures"
Summer Snow,1995,tt0112767,Ann Hui,HK,2,Bordwell 2000,"Hui; Alzheimer's drama; mature HKNW"
The Sword,1980,,Patrick Tam,HK,1,Bordwell 2000 p.82,"Tam; wuxia reimagined; HKNW formal innovation"
Nomad,1982,tt0085353,Patrick Tam,HK,1,Teo 1997 p.182,"Tam; aimless youth; HKNW mood piece"
Love Massacre,1981,,Patrick Tam,HK,2,Teo 1997,"Tam; psychological thriller; New Wave experimentation"
Father and Son,1981,,Allen Fong,HK,1,Bordwell 2000 p.86,"Fong neorealist debut; HKNW documentary style"
Ah Ying,1983,,Allen Fong,HK,1,Teo 1997 p.186,"Fong; working-class portraiture; HKNW social cinema"
Rouge,1987,tt0093256,Stanley Kwan,HK,1,Bordwell 2000 p.120,"Kwan; ghost romance; Leslie Cheung/Anita Mui"
Centre Stage,1992,tt0102816,Stanley Kwan,HK,1,Teo 1997 p.225,"Kwan; Ruan Lingyu biopic; meta-cinema"
Full Moon in New York,1989,,Stanley Kwan,HK,2,Bordwell 2000,"Kwan; three Chinese women in NYC; diaspora theme"
Comrades: Almost a Love Story,1996,tt0117083,Peter Chan,HK,1,Bordwell 2000 p.155,"Chan; immigrant romance; peak 1990s HKNW"
He's a Woman She's a Man,1994,tt0109897,Peter Chan,HK,2,Teo 1997,"Chan; gender-bending comedy; commercial HKNW"
Homecoming,1984,,Yim Ho,HK,2,Bordwell 2000 p.92,"Yim Ho; mainland-HK cultural gap; HKNW social drama"
The Day the Sun Turned Cold,1994,,Yim Ho,HK,2,Teo 1997,"Yim Ho; matricide true crime; mainland setting"
Autumn Moon,1992,tt0106282,Clara Law,HK,2,Bordwell 2000 p.132,"Law; Japanese-HK cultural encounter; pre-handover anxiety"
Temptation of a Monk,1993,tt0108275,Clara Law,HK,2,Teo 1997,"Law; Tang dynasty period drama; HKNW art-house"
